,X,year,age,value
1,1,1984,0 to 5 years,0.007130866
2,2,1984,12 to 17 years,0.042998375
3,3,1984,18 to 28 years,0.147019479
4,4,1984,29 to 60 years,0.603416207
5,5,1984,06 to 11 years,0.015077144
6,6,1984,61 to 100 years,0.184357929
7,7,1985,0 to 5 years,0.020473481
8,8,1985,12 to 17 years,0.06136964
9,9,1985,18 to 28 years,0.077728104
10,10,1985,29 to 60 years,0.58087787
11,11,1985,06 to 11 years,0.041353383
12,12,1985,61 to 100 years,0.218197521
13,13,1986,0 to 5 years,0.02356842
14,14,1986,12 to 17 years,0.063849807
15,15,1986,18 to 28 years,0.084192132
16,16,1986,29 to 60 years,0.580966036
17,17,1986,06 to 11 years,0.044448427
18,18,1986,61 to 100 years,0.202975177
19,19,1987,0 to 5 years,0.025295842
20,20,1987,12 to 17 years,0.06271487
21,21,1987,18 to 28 years,0.10111099
22,22,1987,29 to 60 years,0.573155285
23,23,1987,06 to 11 years,0.04939746
24,24,1987,61 to 100 years,0.188325553
25,25,1988,0 to 5 years,0.03054498
26,26,1988,12 to 17 years,0.084520831
27,27,1988,18 to 28 years,0.115109322
28,28,1988,29 to 60 years,0.534819972
29,29,1988,06 to 11 years,0.064788426
30,30,1988,61 to 100 years,0.170216469
31,31,1989,0 to 5 years,0.02743447
32,32,1989,12 to 17 years,0.074290371
33,33,1989,18 to 28 years,0.119742858
34,34,1989,29 to 60 years,0.547353887
35,35,1989,06 to 11 years,0.058083209
36,36,1989,61 to 100 years,0.173095206
37,37,1990,0 to 5 years,0.029994024
38,38,1990,12 to 17 years,0.075900194
39,39,1990,18 to 28 years,0.136971463
40,40,1990,29 to 60 years,0.530348872
41,41,1990,06 to 11 years,0.059259674
42,42,1990,61 to 100 years,0.167525773
43,43,1991,0 to 5 years,0.028158323
44,44,1991,12 to 17 years,0.065813833
45,45,1991,18 to 28 years,0.138403436
46,46,1991,29 to 60 years,0.545393957
47,47,1991,06 to 11 years,0.053817387
48,48,1991,61 to 100 years,0.168413063
49,49,1992,0 to 5 years,0.033292251
50,50,1992,12 to 17 years,0.074349099
51,51,1992,18 to 28 years,0.155153289
52,52,1992,29 to 60 years,0.522169157
53,53,1992,06 to 11 years,0.058973964
54,54,1992,61 to 100 years,0.15606224
55,55,1993,0 to 5 years,0.034967325
56,56,1993,12 to 17 years,0.080612782
57,57,1993,18 to 28 years,0.170266384
58,58,1993,29 to 60 years,0.502940046
59,59,1993,06 to 11 years,0.066716973
60,60,1993,61 to 100 years,0.14449649
61,61,1994,0 to 5 years,0.038911096
62,62,1994,12 to 17 years,0.089552033
63,63,1994,18 to 28 years,0.174266023
64,64,1994,29 to 60 years,0.48992419
65,65,1994,06 to 11 years,0.073080634
66,66,1994,61 to 100 years,0.134266023
67,67,1995,0 to 5 years,0.048087124
68,68,1995,12 to 17 years,0.111266742
69,69,1995,18 to 28 years,0.190574857
70,70,1995,29 to 60 years,0.436057884
71,71,1995,06 to 11 years,0.100815542
72,72,1995,61 to 100 years,0.113197852
73,73,1996,0 to 5 years,0.048110055
74,74,1996,12 to 17 years,0.108767732
75,75,1996,18 to 28 years,0.20296592
76,76,1996,29 to 60 years,0.435174952
77,77,1996,06 to 11 years,0.092962929
